Time,Goldman Sachs
2023-10-28T22,20
2023-10-28T23,22
2023-10-29T00,24
2023-10-29T01,26
2023-10-29T02,14
2023-10-29T03,16
2023-10-29T04,17
2023-10-29T05,23
2023-10-29T06,25
2023-10-29T07,24
2023-10-29T08,19
2023-10-29T09,25
2023-10-29T10,26
2023-10-29T11,24
2023-10-29T12,23
2023-10-29T13,23
2023-10-29T14,25
2023-10-29T15,23
2023-10-29T16,27
2023-10-29T17,25
2023-10-29T18,23
2023-10-29T19,28
2023-10-29T20,30
2023-10-29T21,29
2023-10-29T22,33
2023-10-29T23,33
2023-10-30T00,32
2023-10-30T01,37
2023-10-30T02,34
2023-10-30T03,19
2023-10-30T04,31
2023-10-30T05,30
2023-10-30T06,33
2023-10-30T07,34
2023-10-30T08,42
2023-10-30T09,47
2023-10-30T10,49
2023-10-30T11,51
2023-10-30T12,47
2023-10-30T13,47
2023-10-30T14,52
2023-10-30T15,49
2023-10-30T16,46
2023-10-30T17,38
2023-10-30T18,32
2023-10-30T19,34
2023-10-30T20,36
2023-10-30T21,33
2023-10-30T22,36
2023-10-30T23,41
2023-10-31T00,38
2023-10-31T01,35
2023-10-31T02,32
2023-10-31T03,27
2023-10-31T04,29
2023-10-31T05,26
2023-10-31T06,28
2023-10-31T07,37
2023-10-31T08,45
2023-10-31T09,50
2023-10-31T10,44
2023-10-31T11,51
2023-10-31T12,54
2023-10-31T13,50
2023-10-31T14,52
2023-10-31T15,50
2023-10-31T16,45
2023-10-31T17,39
2023-10-31T18,36
2023-10-31T19,36
2023-10-31T20,35
2023-10-31T21,36
2023-10-31T22,41
2023-10-31T23,40
2023-11-01T00,35
2023-11-01T01,39
2023-11-01T02,30
2023-11-01T03,23
2023-11-01T04,36
2023-11-01T05,33
2023-11-01T06,36
2023-11-01T07,41
2023-11-01T08,45
2023-11-01T09,51
2023-11-01T10,53
2023-11-01T11,53
2023-11-01T12,56
2023-11-01T13,60
2023-11-01T14,57
2023-11-01T15,60
2023-11-01T16,54
2023-11-01T17,44
2023-11-01T18,40
2023-11-01T19,40
2023-11-01T20,43
2023-11-01T21,40
2023-11-01T22,41
2023-11-01T23,43
2023-11-02T00,35
2023-11-02T01,43
2023-11-02T02,40
2023-11-02T03,44
2023-11-02T04,32
2023-11-02T05,36
2023-11-02T06,50
2023-11-02T07,50
2023-11-02T08,63
2023-11-02T09,68
2023-11-02T10,59
2023-11-02T11,60
2023-11-02T12,60
2023-11-02T13,80
2023-11-02T14,100
2023-11-02T15,82
2023-11-02T16,77
2023-11-02T17,55
2023-11-02T18,43
2023-11-02T19,47
2023-11-02T20,45
2023-11-02T21,47
2023-11-02T22,51
2023-11-02T23,40
2023-11-03T00,45
2023-11-03T01,42
2023-11-03T02,36
2023-11-03T03,39
2023-11-03T04,32
2023-11-03T05,39
2023-11-03T06,38
2023-11-03T07,59
2023-11-03T08,49
2023-11-03T09,58
2023-11-03T10,55
2023-11-03T11,51
2023-11-03T12,53
2023-11-03T13,52
2023-11-03T14,51
2023-11-03T15,55
2023-11-03T16,48
2023-11-03T17,38
2023-11-03T18,33
2023-11-03T19,33
2023-11-03T20,35
2023-11-03T21,38
2023-11-03T22,30
2023-11-03T23,14
2023-11-04T00,12
2023-11-04T01,19
2023-11-04T02,40
2023-11-04T03,10
2023-11-04T04,11
2023-11-04T05,16
2023-11-04T06,13
2023-11-04T07,15
2023-11-04T08,16
2023-11-04T09,14
2023-11-04T10,14
2023-11-04T11,12
2023-11-04T12,14
2023-11-04T13,11
2023-11-04T14,13
2023-11-04T15,12
2023-11-04T16,13
2023-11-04T17,24
2023-11-04T18,18
2023-11-04T19,21
2023-11-04T20,22
2023-11-04T21,21
